id,type,bytes,filename,sha256,relpath,validation_ok
459,application/pdf,4087754,O-RAN.WG4.CTI-TMP.0-R003-v04.00.pdf,802f2868e5a515ec085542477e53c82b23538ec5567b3cf3b26cac39ed25f7ae,downloads/O-RAN.WG4.CTI-TMP.0-R003-v04.00.pdf,True
476,application/pdf,2200328,O-RAN.WG7.OMC-HRD-Opt7-2-R003-v04.00.pdf,e114e42dcc641b4a5256186d3b540662cbd2a59dc2b400809e6dbde0137b027c,downloads/O-RAN.WG7.OMC-HRD-Opt7-2-R003-v04.00.pdf,True
539,application/pdf,1221555,O-RAN-WG6.AppLCM-Deployment-R003-v02.00.pdf,dd74c19a3a8c9eea64500682af7a572da31fd5c51830bdcf5e356fee5665c7fe,downloads/O-RAN-WG6.AppLCM-Deployment-R003-v02.00.pdf,True
592,application/pdf,3031709,O-RAN.WG5.O-DU-O1.0-R003-v09.00__id-592.pdf,ab8fffc95cc878329133f5eea4a00520fe7b643327f33add5aae4fba62bd49ed,downloads/O-RAN.WG5.O-DU-O1.0-R003-v09.00__id-592.pdf,True
593,application/x-zip-compressed,93231,O-RAN.WG5.O-DU-O1.1-R003-v09.00.zip,d83bbcdcd4d836b58faae7384ff6dcca1a3d174400d2f9d6fc09c36a14a47074,downloads/O-RAN.WG5.O-DU-O1.1-R003-v09.00.zip,True
594,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,119122,O-RAN.WG5.O-DU-O1.2-R003-v09.00.xlsx,2feeb558a72547beebc43256028d1f53b433990db2c5eff581e9771aaa776e37,downloads/O-RAN.WG5.O-DU-O1.2-R003-v09.00.xlsx,True
595,application/pdf,2039082,O-RAN.WG5.O-CU-O1.0-R003-v07.00.pdf,b760bcdfb863171c1cd88dbe021a911328a9a9fd420ef06f6ac04be330ca787e,downloads/O-RAN.WG5.O-CU-O1.0-R003-v07.00.pdf,True
596,application/x-zip-compressed,6157,O-RAN.WG5.O-CU-O1.1-R003-v07.00.zip,13e1c6977bd50efc93859edad7ca797bfeef37cc17130518ee3758ea1603d29a,downloads/O-RAN.WG5.O-CU-O1.1-R003-v07.00.zip,True
607,application/vnd.openxmlformats-officedocument.wordprocessingml.document,81238,O-RAN.WG6.O2-IMS-K8s-R003-v01.00.docx,2a64c20b788444340df053e67f12973014d3434319a2ab78f046cfeefb31d8cd,downloads/O-RAN.WG6.O2-IMS-K8s-R003-v01.00.docx,True
666,application/vnd.openxmlformats-officedocument.wordprocessingml.document,170329,O-RAN.WG5.U.0-R003-v07.00.docx,2211fac297e198afb1cfcb95e6392b42d9d88d61b22f1ea67bbf5ae0a626767a,downloads/O-RAN.WG5.U.0-R003-v07.00.docx,True
670,application/vnd.openxmlformats-officedocument.wordprocessingml.document,574336,O-RAN.WG6.O-Cloud Notification API-v04.00.docx,ba8b2c0c78ca4ff646de1e0d54c3452bec6aabbd1bfba05ef4896e1bda70d6c7,downloads/O-RAN.WG6.O-Cloud Notification API-v04.00.docx,True
695,application/pdf,346063,O-RAN.SuFG.CE-v01.00.pdf,b7528ac4539bd4beeef359e60ee97aef9366afaad16c769984565510569e80ce,downloads/O-RAN.SuFG.CE-v01.00.pdf,True
715,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1414799,O-RAN.WG1.TR.SA-MVD-R004-v03.00.docx,b0285e65fad88e4311bf186247b757ef314884583cb6dd3f721298534a9c92b0,downloads/O-RAN.WG1.TR.SA-MVD-R004-v03.00.docx,True
716,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1187035,O-RAN.WG1.TR.Decoupled-SMO-Architecture-R004-v03.00.docx,bdfaffe1d62d639bfd999a8793d5e50dce6822aa5e2cf62cf6e9753e1327d08c,downloads/O-RAN.WG1.TR.Decoupled-SMO-Architecture-R004-v03.00.docx,True
737,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1207834,O-RAN.WG3.TR.ConMit-R004-v01.00__id-737.docx,bade55c3789c24f108f393f3dbbef2341cb46e67e5327e93060f99a727588e94,downloads/O-RAN.WG3.TR.ConMit-R004-v01.00__id-737.docx,True
755,application/pdf,202931,O-RAN.WG6.AAL-MUMIMO-BF-Calc-Profile-R004-v01.01.pdf,54235c70ad3969df02226a7b632ba2f49e6b5658aba56209440c62789b45c62e,downloads/O-RAN.WG6.AAL-MUMIMO-BF-Calc-Profile-R004-v01.01.pdf,True
756,application/vnd.openxmlformats-officedocument.wordprocessingml.document,180835,O-RAN.WG6.AAL FEC.R004-v04.00.docx,ff7ab08dcfbb2bbfdd2f7b9fb3cb82da860f4f7c707e064ceb9f15c266ece98f,downloads/O-RAN.WG6.AAL FEC.R004-v04.00.docx,True
757,application/pdf,2012433,O-RAN.WG7.IPC-HAR.0-v03.00__id-757.pdf,841ea58c835dc1a20e3fda2598987a149d535f2a6fa3b094902a25d763370248,downloads/O-RAN.WG7.IPC-HAR.0-v03.00__id-757.pdf,True
759,application/pdf,1282045,O-RAN.WG7.OMAC-HAR.0-v05.00.pdf,78ffc4476839dd0ecda54f1c1c8bf29db073fda34d1f7b5419193219f40129b8,downloads/O-RAN.WG7.OMAC-HAR.0-v05.00.pdf,True
778,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1224193,ORAN-WG11-SharedORU-Security-Analysis-TR.0-R004-v06.00.docx,7bece6f5f7b092cb31663c7d62d09e4e2ce574fe578f6a2fd6a70969b1f1dc32,downloads/ORAN-WG11-SharedORU-Security-Analysis-TR.0-R004-v06.00.docx,True
780,application/vnd.openxmlformats-officedocument.wordprocessingml.document,799425,O-RAN.WG11.Security-Log-Management-TR.O-R004-v05.00.docx,b527e25202264851de2f2fb680fd27de35d695feda7ec6edd8bd5de3a6e11f72,downloads/O-RAN.WG11.Security-Log-Management-TR.O-R004-v05.00.docx,True
808,application/pdf,1258694,O-RAN.WG3.TS.E2SM-R004-v07.00.pdf,356eb9c84a4b11032051ad402659bc29c883b3a3267fec68b3559f6771de47e6,downloads/O-RAN.WG3.TS.E2SM-R004-v07.00.pdf,True
809,application/pdf,768821,O-RAN.WG3.TS.E2SM-LLC-R004-v01.00.pdf,b917d19e4dfbf6d5efca202012468f1b55b490937fb20b2f01f87a0953f37790,downloads/O-RAN.WG3.TS.E2SM-LLC-R004-v01.00.pdf,True
814,application/pdf,2921440,O-RAN.WG3.TS.UCR-R004-v08.00.pdf,b6e66c86438c89cf162aa94b7f7546cd41fd803227b8ccb1661337c13d590052,downloads/O-RAN.WG3.TS.UCR-R004-v08.00.pdf,True
817,application/pdf,3065640,O-RAN.WG6.CADS-v08.01.pdf,e94cd5bf1cb98420bd9899c863c8875744f197f4ad9a0f728f4014170d47f57f,downloads/O-RAN.WG6.CADS-v08.01.pdf,True
826,application/vnd.openxmlformats-officedocument.wordprocessingml.document,593174,O-RAN.WG7.IPC-TEST.0-v01.docx,d25fb773649cf3b21dac84dfa51b9b7e63fcc0ab417f0032ab58fc3b802efbfc,downloads/O-RAN.WG7.IPC-TEST.0-v01.docx,True
829,application/pdf,2741553,ORAN-WG9.WDM.0-R004-v05.00.pdf,61ea3061689f7a39cd281e6d2c9e987d4d6a9c937d9b9d4a9a575fe78361b2ef,downloads/ORAN-WG9.WDM.0-R004-v05.00.pdf,True
831,application/x-zip-compressed,3976,O-RAN.WG9.XTRP-SYN.1-R004-v06.00_YANG.zip,a0a2a4907faf0cf13d8033c916fd62d55901ff8eb8e5c9cd71e30ca1946de9bb,downloads/O-RAN.WG9.XTRP-SYN.1-R004-v06.00_YANG.zip,True
832,application/pdf,13479727,O-RAN.WG9.XTRP-TST.0-R004-v05.00.pdf,5867d6330eadc4c90f94b922e710e7df951361b93c5217e8b38e5c2f76317c0d,downloads/O-RAN.WG9.XTRP-TST.0-R004-v05.00.pdf,True
848,application/vnd.openxmlformats-officedocument.wordprocessingml.document,212396,O-RAN.WG11.TR.O-RUCUM-R004-v04.00.docx,0031175d6eed1efdc73886b5f49478e9e50401dbdefadc08092781e5092fb4b8,downloads/O-RAN.WG11.TR.O-RUCUM-R004-v04.00.docx,True
859,application/pdf,485184,O-RAN.TIFG.CGofOTIC.0-v06.00.pdf,d605211c8ee1f345db812d3e052ec53b0e137d7c8b8c8f9c37c1d4d2a6c2e592,downloads/O-RAN.TIFG.CGofOTIC.0-v06.00.pdf,True
860,application/vnd.openxmlformats-officedocument.wordprocessingml.document,792527,O-RAN.SuFG.TR.NES-Analysis-R004-v01.01.docx,ae0390b152e0504b5bb4fd1f63c64fa709bbdf73085466ceaf532849308f0e91,downloads/O-RAN.SuFG.TR.NES-Analysis-R004-v01.01.docx,True
863,application/pdf,3746833,O-RAN.WG1.TS.Slicing-Architecture-R004-v14.01.pdf,b5f426550e3952231d37989397c359fd1b7876ea700cdc72d7d37b433654da60,downloads/O-RAN.WG1.TS.Slicing-Architecture-R004-v14.01.pdf,True
871,application/vnd.openxmlformats-officedocument.wordprocessingml.document,143128,O-RAN.WG2.TS.R1TP-R004-v04.03.docx,b53dc6e517adca2b53b060c1fcd588c2c7d02f72936a12fc58327c115857312e,downloads/O-RAN.WG2.TS.R1TP-R004-v04.03.docx,True
875,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2780936,O-RAN.WG2.TR.PlcCnfMtgt-R004-v01.00.docx,fd81f5d6b0f3605ab75b59a626059a7e3d51c324058945fc1cb8b867bedcdfb2,downloads/O-RAN.WG2.TR.PlcCnfMtgt-R004-v01.00.docx,True
877,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1370297,O-RAN.WG2.TR.A1PENF-R004-v01.00.docx,fb9f92023fce76cff0aad5d4f47f02e081f50db75931400a6da5569164c12bf8,downloads/O-RAN.WG2.TR.A1PENF-R004-v01.00.docx,True
878,application/vnd.openxmlformats-officedocument.wordprocessingml.document,3412629,O-RAN.WG2.TS.Non-RT-RIC-ARCH-R004-v07.00__id-878.docx,05096f081a0c8ebb98fbeb8c94e4aec84dfd06115c28a67b9459f236dc52136a,downloads/O-RAN.WG2.TS.Non-RT-RIC-ARCH-R004-v07.00__id-878.docx,True
880,application/pdf,1290945,O-RAN.WG3.TS.E2SM-CCC-R004-v06.00.pdf,cee6d40da869045197ac543bb7a243081a014cb187e30908fe0ae1748cd1db37,downloads/O-RAN.WG3.TS.E2SM-CCC-R004-v06.00.pdf,True
889,application/pdf,534066,O-RAN.WG6.ASD-R004-v02.00.pdf,8c543f9d58fc2617f74d81b5e387069076029f258718682d2db4df9fd82cd4ce,downloads/O-RAN.WG6.ASD-R004-v02.00.pdf,True
898,application/pdf,1635631,O-RAN.WG6.TS.AAL-HI_PHY-R004-v08.00.pdf,5a0ae7bf6971b9d962d37bf7322e10128626c64d54d6931a105dc7091d702c11,downloads/O-RAN.WG6.TS.AAL-HI_PHY-R004-v08.00.pdf,True
900,application/pdf,4486328,O-RAN.WG7.TS.IPC-HRD-Opt7-2.0-R005-v04.00.pdf,3ea6d43ede01f87e62e2fde164847e810e21845d8a06352b4c994e468c8426db,downloads/O-RAN.WG7.TS.IPC-HRD-Opt7-2.0-R005-v04.00.pdf,True
916,application/vnd.openxmlformats-officedocument.wordprocessingml.document,885386,O-RAN.WG11.TR.AppLCM-Security-R004-v04.00.docx,a804e7fbda6cbe73cf797aa03a4891b5b4ef6dacca8618987672e065bdf15c11,downloads/O-RAN.WG11.TR.AppLCM-Security-R004-v04.00.docx,True
